Year,City,Population,Average Wage,Number of Employees,65+ percentage,0-17 percentage
2006,הוד השרון,44.6,9624,16988,8.645410281,30.2443512
2006,הרצלייה,84.1,8713,33511,13.98328757,22.76741671
2006,חדרה,76.3,5342,31440,12.60808049,27.15243934
2006,חולון,167.1,5824,67723,15.21845822,23.90292076
2006,חיפה,266.3,6469,93632,18.00548295,21.96222022
2006,טבריה,40,4242,14592,10.06350635,31.12561256
2006,טייבה,33.9,3994,8139,3.727331798,44.41786284
2006,טירה,21.1,4161,5395,4.069354304,42.18106021
2006,טירת כרמל,18.7,4562,6672,11.75936799,26.17166649
2006,טמרה,26.6,3686,6360,3.25747602,44.21290201
2006,יבנה,31.9,6127,12250,6.326056956,30.41650985
2006,יהוד,25.5,7892,10180,9.613572102,28.79751806
2006,יקנעם עילית,18.5,6683,6883,7.55432721,34.2437544
2006,ירושלים,733.3,5602,174501,8.185548369,40.52683039
2006,כפר סבא,81.3,7537,32827,12.09868947,25.50667569
2006,כרמיאל,44.1,5701,17939,12.7777274,25.09975515
2006,לוד,66.8,4627,23767,10.44686714,33.50155745
2006,מגדל העמק,24.7,4757,8407,11.44302773,31.00991702
2006,מודיעין-מכבים-רעות,62.5,9659,22294,3.008577647,40.91185508
2006,מעלה אדומים,31.8,6396,11711,5.070227373,37.29923789
2006,מעלות-תרשיחא,21.2,5097,7288,11.36267157,29.13070138
2006,נהרייה,50.4,6014,18454,13.77703761,26.80465513
2006,נס ציונה,31,7840,12522,9.356725146,29.25915156
2006,נצרת,64.8,4299,18978,5.512527771,41.61781042
2006,נצרת עילית,43.6,4837,15922,16.70606054,22.53482342
2006,נשר,21.2,5907,8091,12.38821425,24.07041325
2006,נתיבות,24.9,3846,7418,6.749869577,42.36526345
2006,נתניה,173.8,5382,64131,15.2065355,27.11713267
2006,סח'נין,25,3839,6456,3.233671756,43.63258454
2006,עיר כרמל,24.4,4456,6396,5.274356561,34.87049388
2006,עכו,46,4337,15243,11.39226736,29.6534018
2006,עפולה,39.3,4901,14794,12.59611957,27.30559658
2006,ערד,23.3,5084,8405,14.9723449,27.52647601
2006,פתח תקווה,184.2,6265,73983,13.38899868,27.01090143
2006,צפת,28.1,4272,7909,9.991457251,40.27906315
2006,קלנסווה,17.4,4052,3853,2.600690449,48.01495972
2006,קריית אונו,26.2,9151,10767,13.7171178,26.13800991
2006,קריית אתא,49.5,5374,18035,12.86944568,25.62770388
2006,קריית ביאליק,36.5,5916,14526,15.78485903,21.63739485
2006,קריית גת,47.8,4145,17635,12.00150647,29.52881115
2006,קריית ים,37.2,4711,13639,18.16080213,21.25749308
2006,קריית מוצקין,39.7,6073,15144,15.8788123,22.85239378
2006,קריית מלאכי,19.5,3856,6985,7.413289615,34.61755213
2006,קריית שמונה,22,4783,9506,9.29557008,27.68700073
2006,ראש העין,37.5,7025,12887,6.36531119,35.1427122
2006,ראשון לציון,222,6698,92280,10.36340135,25.96457411
2006,רהט,40.6,3499,6846,1.456741435,60.9465122
2006,רחובות,104.5,6465,40125,12.36118418,28.46047157
2006,רמלה,64.2,4428,22191,9.282864801,31.63685096
2006,רמת גן,129.7,7442,51760,17.45900754,21.1163214
2006,רמת השרון,36.8,10697,14735,14.86747315,25.27388881
2006,רעננה,72.8,9859,26275,9.984622144,27.45496485
2006,שגור*,29.2,3821,6863,3.312119346,45.30897146
2006,שדרות,19.8,4387,8187,9.883574417,29.5297616
2006,שפרעם,33.5,4408,8535,4.342638988,41.44297304
2006,תל אביב-יפו,384.4,7786,171015,14.55284743,20.03309062
2006,אבו גוש,5.8,4312.414358,1444,4.079876054,42.7956619
2006,אבו סנאן,11.5,3962.042784,2910,4.179311541,40.50117055
2006,אבן יהודה,9.7,9551.163567,3683,7.723200494,32.00494285
2006,אורנית,5.8,8552.419246,2197,3.009339329,32.72224144
2006,אזור,10.2,6140.596917,4000,10.34955449,26.05502791
2006,אכסאל,11.5,4344.668158,2571,2.512345144,46.35709954
2006,אליכין,2.7,5698.609539,1078,10.19273536,35.02594514
2006,אלפי מנשה,5.8,7696.901612,2513,3.072433917,31.22210779
2006,אלקנה,3,8472.493078,1216,4.346361186,31.19946092
2006,אעבלין,11,4083.926324,2580,3.460871153,42.47100721
2006,אפרתה,7.7,7793.360663,2543,3.124189785,43.68680321
2006,באר יעקב,9.4,5809.474201,2794,7.36425823,34.48054724
2006,בועיינה-נוג'ידאת,7.9,3556.219563,1640,2.139309818,47.12848593
2006,בוקעאתא,5.6,3527.821501,1479,4.641122504,38.83792049
2006,ביר אל-מכסור,7.3,3405.165554,1647,2.700840568,46.72729778
2006,בית אל,5.2,5422.716656,1502,2.053069921,51.15243076
2006,בית אריה,3.5,7157.808385,1286,2.5128498,36.83609366
2006,בית ג'ן,10.2,3903.561388,2605,5.466903073,39.79511426
2006,בית דגן,5.7,6701.694635,2184,7.211622615,32.95991598
2006,"בני עי""ש",7.6,5058.385435,2807,16.07493777,25.0753308
2006,בנימינה-גבעת עדה,10.6,8889.326691,3726,6.966864911,34.42839611
2006,"בסמ""ה",7.8,3936.932841,1726,2.087359876,56.91276897
2006,בסמת טבעון,6.3,4095.783883,1547,3.521794062,44.36197094
2006,גבעת זאב,10.8,7167.315054,4030,4.270100037,34.44794368
2006,ג'דיידה-מכר,17.7,3661.237758,4309,3.559925411,42.80951574
2006,גדרה,15.5,6810.839998,5577,9.959901694,37.1556073
2006,ג'ולס,5.4,4383.689642,1342,5.357476199,38.93970506
2006,ג'לג'וליה,7.8,3665.240728,1420,2.577914583,49.85250737
2006,גן יבנה,15.8,6825.429756,5475,4.41678251,38.71477316
2006,גני תקווה,12.4,9178.354846,4660,8.818770227,30.33980583
2006,ג'סר א-זרקא,11.4,3284.102436,3154,1.507581734,49.13664651
2006,ג'ש (גוש חלב),2.7,4893.25435,977,9.846499438,34.78098091
2006,דבורייה,8.5,4140.537727,2041,4.443921937,44.1570656
2006,דייר חנא,8.6,3758.740767,2094,3.704561241,43.1465617
2006,הר אדר,2.4,12349.50889,1022,3.445447088,32.73174733
2006,זכרון יעקב,17.1,9623.74701,5547,7.654523127,36.60019882
2006,זמר,5.2,4439.174804,1362,3.72706422,43.6735474
2006,זרזיר,6.5,3609.04068,1352,2.738666254,47.47021507
2006,חורה,10,4256.978715,1429,1.652478718,57.36604907
2006,חורפיש,5.2,4460.800405,1235,4.330408241,40.95764975
2006,חצור הגלילית,8.4,4284.995903,3092,9.090909091,35.4746948
2006,טובא-זנגרייה,5.3,3316.30025,1597,2.225575255,44.83213882
2006,טורעאן,11.4,3966.895562,2606,3.480094912,45.96185957
2006,יאנוח-ג'ת,5.3,4332.613168,1148,3.117870722,42.14828897
2006,יבנאל,2.9,4656.472775,854,8.095899931,41.10493398
2006,יסוד המעלה,1.3,,,9.140201394,30.05422153
2006,יפיע,16.9,4124.92446,4010,3.760066319,41.57981999
2006,ירוחם,8.5,5373.356389,2859,8.749266001,33.20023488
2006,ירכא,12.7,4183.356579,2764,3.475389212,44.14216072
2006,כאבול,9.6,4000.408413,2312,2.772566187,44.45486763
2006,כאוכב אבו אל-היג'א,2.8,4354.295077,904,4.659371691,41.19308154
2006,כוכב יאיר,11.7,11065.64856,3884,3.021533748,33.14324623
2006,כסיפה,10.3,3796.77876,1753,1.315917731,59.83039283
2006,כסרא-סמיע,6.7,4003.683597,1452,3.556082383,45.3696844
2006,כעביה-טבאש-חג'אג'רה,4.1,3590.410131,1071,2.411417323,50.1230315
2006,כפר ברא,2.6,4990.462361,538,2.463054187,54.07351269
2006,כפר ורדים,5.7,10187.18345,2051,6.433368682,32.34358431
2006,כפר יאסיף,8.4,4180.545558,2698,5.227435104,37.92569659
2006,כפר יונה,14.1,6684.580045,5398,4.57571894,33.8574869
2006,כפר כמא,2.9,4917.524737,886,7.036395147,33.55285962
2006,כפר כנא,18,3614.714908,3904,2.92663964,46.56522463
2006,כפר מנדא,15.3,3418.418045,3084,2.452904239,50.80455259
2006,כפר קאסם,17.7,4015.790819,3983,2.707448315,49.00028321
2006,כפר קרע,14.4,4519.029726,4477,3.284823285,43.21552322
2006,כפר שמריהו,1.8,,,22.2406181,22.18543046
2006,כפר תבור,2.6,9074.354821,1082,4.283489097,32.4376947
2006,להבים,5.6,11453.11587,2313,4.130005387,33.12982582
2006,לקיה,8.4,3879.962611,1500,1.90826123,53.92912173
2006,מבשרת ציון,23,9355.607386,8897,7.343083486,31.57047097
2006,מגאר,19,3952.661328,3793,3.512646579,42.19908503
2006,מגדל,1.5,,,6.72436751,29.69374168
2006,מג'דל שמס,9,2988.433117,2462,4.178211238,36.53995345
2006,מודיעין עילית,34.5,2971.136162,5368,1.035322777,59.38460646
2006,מזכרת בתיה,8.8,8321.183594,3328,4.784090909,34.14772727
2006,מזרעה,3.4,4130.383795,938,4.928131417,39.30771487
2006,מטולה,1.5,,,7.055630936,28.42605156
2006,מיתר,6.9,9971.236096,2781,5.964760254,32.61120739
2006,מסעדה,3.3,3163.954281,946,3.887884268,36.82941531
2006,מעיליא,2.7,5549.397917,920,11.1235119,33.14732143
2006,מעלה אפרים,1.4,,,4.913294798,28.97398844
2006,מעלה עירון,11.8,3863.463208,2419,2.779420461,47.57117513
2006,מצפה רמון,4.3,4938.719463,1490,9.201748332,35.61076605
2006,משהד,6.9,3753.558166,1447,2.846768337,47.37835875
2006,נחף,10.3,3920.13155,2411,2.778853602,48.43144849
2006,סאג'ור,3.6,3829.955475,831,3.159071848,42.80123008
2006,סביון,3.3,19881.60374,1213,17.53697555,25.20374283
2006,ע'ג'ר,2.1,4471.632762,467,2.324455206,45.37530266
2006,עומר,6.3,12452.74358,2971,14.85732504,24.96413199
2006,עיילבון,4.6,4542.280113,1392,5.4214223,37.2475856
2006,עילוט,6.6,3599.971192,1267,2.504526252,47.69161135
2006,עין מאהל,10.8,3792.645814,2202,2.667035807,46.17940199
2006,עין קנייא,1.9,,,4.12044374,36.81986265
2006,עמנואל,2.7,3586.795497,533,4.032860344,49.51456311
2006,עראבה,20.1,3850.108908,4513,3.004975124,46.8358209
2006,ערערה,16,4210.971065,4127,3.970192247,43.54060993
2006,ערערה-בנגב,12.5,3926.117395,1534,1.285121328,59.30715198
2006,פוריידיס,10.3,3839.378185,2826,2.98100341,42.39649294
2006,פסוטה,2.9,4407.924226,915,8.25059911,32.96816159
2006,פקיעין (בוקייעה),5.1,4774.041753,1445,6.183536826,36.78613627
2006,פרדס חנה-כרכור,29.8,5896.454701,11093,11.49991621,30.14580191
2006,פרדסייה,6.2,8561.486869,2310,2.72976902,31.10967534
2006,קדומים,3.2,5545.613928,1223,2.836658354,44.1084788
2006,קדימה-צורן,16.6,8851.763473,5511,4.977756403,37.98845738
2006,קציר-חריש,3.9,6417.041986,1173,4.647560031,35.63129357
2006,קצרין,6.5,4394.044252,2885,10.31023306,28.83160982
2006,קריית ארבע,7,4152.933842,1999,5.015809141,44.81172751
2006,קריית טבעון,14,8453.137545,5314,14.92846924,26.60228898
2006,קריית יערים,3.1,4501.939644,515,2.786675208,49.71172325
2006,קריית עקרון,9.9,5080.044451,3517,8.777777778,29.27272727
2006,קרני שומרון,6.3,5463.143751,2371,4.389704721,36.98089373
2006,ראמה,7.5,4619.228005,2080,7.568287808,36.88207861
2006,ראש פינה,2.5,6742.988468,1055,6.661251015,29.6506905
2006,ריינה,16.3,3834.478498,3085,3.495217071,41.58695119
2006,רכסים,8.6,3611.131489,1798,3.974358974,50.95571096
2006,רמת ישי,5.7,7842.829013,2199,4.254943503,28.44279661
2006,שבלי - אום אל-גנם,5,4174.097637,1305,3.204353083,45.06247481
2006,שגב-שלום,6.5,3556.029137,981,1.365240067,59.24221506
2006,שוהם,19,11811.0661,6054,2.314302283,41.61526701
2006,שלומי,5.5,5034.034666,2113,7.185520362,31.72850679
2006,שעב,6,3951.742464,1349,3.057795699,45.16129032
2006,תל מונד,9.4,10149.06933,3357,4.660566078,37.67822941
2006,תל שבע,13.6,3411.103952,1843,1.393908105,61.73759127
2007,אום אל-פחם,43.3,4161,10056,2.8,47.5
2007,אופקים,24.7,4659,8542,9.6,34.6
2007,אור יהודה,31.7,6160,14332,8.5,30.8
2007,אור עקיבא,15.8,5045,7892,10.6,27.9
2007,אילת,46.8,5521,25866,6.6,27.3
2007,אלעד,31.3,4489,7679,0.8,57.6
2007,אריאל,16.6,6262,8779,8.8,26.1
2007,אשדוד,207,5991,82892,11.7,32.1
2007,אשקלון,108.9,5384,46664,13.9,27.2
2007,באקה-ג'ת,32.4,4743,9667,3.5,44.1
2007,באר שבע,186.1,6020,80174,12.3,26.8
2007,בית שאן,16.6,5070,7572,7.1,33.2
2007,בית שמש,72.6,5505,19257,4.5,50.1
2007,ביתר עילית,32.2,3384,5531,0.8,62.3
2007,בני ברק,151,4557,35547,7.4,46.4
2007,בת ים,129.1,5351,61108,19.1,20.8
2007,גבעת שמואל,19.8,9707,8716,7.8,34.8
2007,גבעתיים,49.6,9459,22939,17.9,21.3
2007,דימונה,33.6,6229,13825,9.9,30.4
2007,הוד השרון,45.7,10144,21026,8.8,30.3
2007,הרצלייה,84.2,8873,39511,14.1,22.8
2007,חדרה,77.1,6111,37194,12.6,27.1
2007,חולון,168.8,6600,78933,15.1,24
2007,חיפה,264.9,7537,111680,17.9,21.8
2007,טבריה,39.7,4647,16482,10.2,30.8
2007,טייבה,34.8,4618,10121,3.9,44.2
2007,טירה,21.5,4729,6496,4.3,41.3
2007,טירת כרמל,18.7,5361,8135,11.6,25.9
2007,טמרה,27.3,3954,7371,3.4,43.9
2007,יבנה,32.2,7065,15177,6.4,30.1
2007,יהוד,25.8,8478,12361,9.9,28.8
2007,יקנעם עילית,18.6,7813,8662,7.5,34.3
2007,ירושלים,747.6,5800,200488,8.1,40.5
2007,כפר סבא,81.6,8625,39913,12.2,25.4
2007,כפר קאסם,18.1,4445,4813,2.7,48.4
2007,כרמיאל,44.4,6269,21546,12.7,25
2007,לוד,67,5448,28015,10.4,33.5
2007,מגדל העמק,24.8,5221,10479,11.3,30.7
2007,מודיעין עילית,38,3163,6658,1.1,60
2007,מודיעין-מכבים-רעות,67.1,10548,28750,3.1,40.9
2007,מעלה אדומים,33,6915,14726,5.3,36.9
2007,מעלות-תרשיחא,21.2,5667,9353,11.3,28.8
2007,נהרייה,51,6928,23691,13.6,26.6
2007,נס ציונה,32.5,9046,15928,9,29.8
2007,נצרת,65.5,4588,21076,5.6,41.2
2007,נצרת עילית,43.1,5399,19636,16.5,22.5
2007,נשר,21.3,7203,10267,12.4,23.5
2007,נתיבות,25.6,4322,8543,6.5,42.4
2007,נתניה,176.5,6141,77740,15.1,27.1
2007,סח'נין,25.1,4015,7032,3.4,42.7
2007,עיר כרמל,24.9,5433,8137,5.3,34.1
2007,עכו,46,5154,18838,11.2,29.3
2007,עפולה,39.2,5546,18021,12.6,26.7
2007,ערד,23.3,6006,10719,15.1,27.3
2007,פתח תקווה,188.9,7282,90668,13.2,27.2
2007,צפת,28.5,4591,9008,9.8,40
2007,קלנסווה,17.8,4615,4673,2.7,47.6
2007,קריית אונו,27.4,9895,13279,13.3,26.8
2007,קריית אתא,49.7,6269,21971,12.7,25.5
2007,קריית ביאליק,36.2,6989,17204,15.8,21.5
2007,קריית גת,47.8,4816,20422,11.8,29.4
2007,קריית ים,36.8,5635,16705,18,20.8
2007,קריית מוצקין,39.6,7225,18139,15.8,22.7
2007,קריית מלאכי,19.6,4368,8294,7.5,34.1
2007,קריית שמונה,22.1,5309,10664,9.3,27.3
2007,ראש העין,37.9,7768,16536,6.5,34.4
2007,ראשון לציון,224.3,7574,108337,10.5,25.7
2007,רהט,42.2,3783,8276,1.5,60.4
2007,רחובות,106.2,7641,49209,12.3,28.4
2007,רמלה,64.9,5061,26167,9.3,31.6
2007,רמת גן,129.9,8219,60992,17.2,21.2
2007,רמת השרון,37.5,10506,17050,15.1,25.8
2007,רעננה,73,9864,31453,10.2,27.5
2007,שגור*,29.9,4107,8266,3.4,44.7
2007,שדרות,19.3,5007,9501,9.8,28.5
2007,שפרעם,34.1,4731,10064,4.5,41
2007,תל אביב-יפו,390.1,8028,194558,14.1,20.2
2007,אבו גוש,5.9,4592.942124,1712,4.1,42.3
2007,אבו סנאן,11.7,4369.991491,3281,4.3,39.8
2007,אבן יהודה,10,10052.25736,4633,7.9,31.9
2007,אורנית,6,9724.078816,2804,3.2,32.4
2007,אזור,10.3,6907.400776,4746,10.4,25.9
2007,אכסאל,11.8,4604.089411,2934,2.6,45.8
2007,אליכין,2.8,6416.093806,1305,9.7,35.4
2007,אלפי מנשה,6.2,8686.077803,3255,3,31.7
2007,אלקנה,3,9029.401902,1428,4.9,31.7
2007,אעבלין,11.2,4420.762159,3132,3.6,41.9
2007,אפרתה,8,7870.573504,2857,3.3,43.1
2007,באר יעקב,9.6,6777.473061,3740,7.5,34.1
2007,בועיינה-נוג'ידאת,8,3964.155919,2016,2.2,46.2
2007,בוקעאתא,5.7,3696.794643,1596,4.8,38.5
2007,ביר אל-מכסור,7.4,3968.550345,2175,2.8,46.2
2007,בית אל,5.3,5430.844799,1788,2.3,50.9
2007,בית אריה,3.6,8408.644215,1674,2.4,37
2007,בית ג'ן,10.3,4643.109867,3216,5.5,39
2007,בית דגן,6,7726.990613,2690,7.2,33.5
2007,"בני עי""ש",7.6,5882.5819,3489,15.9,24.2
2007,בנימינה-גבעת עדה,11.2,9929.306038,4778,6.7,34.7
2007,"בסמ""ה",7.9,4179.120284,2041,2.2,56.8
2007,בסמת טבעון,6.5,4793.786334,2016,3.7,43.8
2007,גבעת זאב,10.9,7418.672724,4691,4.6,33.7
2007,ג'דיידה-מכר,17.9,4205.545886,5096,3.8,42.1
2007,גדרה,16.7,8078.573197,7391,9.7,37.7
2007,ג'ולס,5.4,5067.415978,1814,5.2,38.2
2007,ג'לג'וליה,8,3880.745521,2065,2.7,49.3
2007,גן יבנה,16.8,8281.278008,7355,4.5,38.3
2007,גני תקווה,12.6,10013.44168,5688,8.8,30.3
2007,ג'סר א-זרקא,11.7,4170.277575,4252,1.7,48.8
2007,ג'ש (גוש חלב),2.7,5279.897892,1083,10.1,34.5
2007,דבורייה,8.7,4408.13645,2289,4.7,43.6
2007,דייר חנא,8.8,4186.141216,2531,3.8,42.2
2007,הר אדר,2.7,12022.10841,1356,3.7,34.8
2007,זכרון יעקב,17.8,10452.15866,6977,7.7,36.4
2007,זמר,5.3,4822.818655,1584,3.7,43.2
2007,זרזיר,6.6,4272.784291,1723,2.8,47.1
2007,חורה,10.6,4520.587471,1732,1.8,57.3
2007,חורפיש,5.3,5042.351578,1521,4.4,40.4
2007,חצור הגלילית,8.6,4685.831046,3571,9.1,35.2
2007,טובא-זנגרייה,5.4,3801.117054,1893,2.5,44.2
2007,טורעאן,11.6,4246.431989,2877,3.5,45.4
2007,יאנוח-ג'ת,5.4,5241.309366,1662,3.3,41.5
2007,יבנאל,2.9,5011.443113,939,7.9,40.5
2007,יסוד המעלה,1.3,,,9.4,29.7
2007,יפיע,17.2,4466.609047,4521,3.9,40.9
2007,ירוחם,8.5,5501.562063,3291,8.9,33.5
2007,ירכא,13,4588.377887,3363,3.6,43.5
2007,כאבול,9.8,4208.811528,2637,2.8,44.2
2007,כאוכב אבו אל-היג'א,2.9,4750.925917,1018,4.9,40.6
2007,כוכב יאיר,11.7,11420.24527,4580,3.2,31.8
2007,כסיפה,10.7,4136.338252,2033,1.4,59.8
2007,כסרא-סמיע,7,5477.815367,2064,3.6,45.2
2007,כעביה-טבאש-חג'אג'רה,4.2,4077.525495,1363,2.4,49.1
2007,כפר ברא,2.7,4867.404991,728,2.6,53.7
2007,כפר ורדים,5.7,10870.99658,2483,6.5,31.5
2007,כפר יאסיף,8.5,4608.123966,2982,5.4,37.1
2007,כפר יונה,15.1,7726.499229,7129,4.6,33.9
2007,כפר כמא,2.9,5653.479225,1075,7,32.7
2007,כפר כנא,18.5,3901.252526,4420,3,46
2007,כפר מנדא,15.6,3514.883939,3496,2.6,50.1
2007,כפר קרע,14.8,4869.583784,4996,3.4,42.7
2007,כפר שמריהו,1.8,,,21.6,22.2
2007,כפר תבור,2.6,9182.535067,1250,4.7,31.3
2007,להבים,5.6,12247.75022,2657,4.6,32.8
2007,לקיה,9,4196.947666,1828,1.9,54.3
2007,מבשרת ציון,23.6,9179.700918,10299,7.7,31.4
2007,מגאר,19.3,4452.838541,4817,3.7,41.3
2007,מגדל,1.5,,,6.9,29.4
2007,מג'דל שמס,9.2,3254.400386,2718,4.3,36.5
2007,מזכרת בתיה,9.3,9580.327646,4440,4.7,34.5
2007,מזרעה,3.4,4462.152467,1162,5,38.5
2007,מטולה,1.5,,,7.4,27.4
2007,מיתר,7.1,10923.747,3162,6.2,32.4
2007,מסעדה,3.4,3369.168515,1037,4,36.7
2007,מעיליא,2.7,6134.458524,1093,11.5,32.2
2007,מעלה אפרים,1.4,,,4.8,28
2007,מעלה עירון,12.1,4158.526412,2909,2.9,47.2
2007,מצפה רמון,4.4,5300.67746,1768,9,36.9
2007,משהד,7,4027.215167,1567,3,46.9
2007,נחף,10.6,3923.766389,2822,2.8,48.1
2007,סאג'ור,3.6,4624.592859,1216,3.2,41.8
2007,סביון,3.4,14000.21153,1354,17.6,25.7
2007,ע'ג'ר,2.1,5007.449486,551,2.4,45.5
2007,עומר,6.5,12413.84911,3195,14.8,25.9
2007,עיילבון,4.7,5054.46144,1623,5.7,36.2
2007,עילוט,6.8,3818.104092,1401,2.7,46.9
2007,עין מאהל,11,3889.584052,2784,2.9,45.3
2007,עין קנייא,1.9,,,4,36.1
2007,עמנואל,2.8,3321.841017,705,3.9,50.8
2007,עראבה,20.6,4176.333187,5124,3.1,46.6
2007,ערערה,16.4,4649.009535,4702,4.1,43.2
2007,ערערה-בנגב,13,4284.560458,1734,1.3,58.8
2007,פוריידיס,10.5,4436.259858,3449,3.2,41.9
2007,פסוטה,2.9,5017.148115,1114,8.5,32.2
2007,פקיעין (בוקייעה),5.2,5300.157837,1680,6.2,36.2
2007,פרדס חנה-כרכור,30.7,6754.329535,13272,11.2,30.2
2007,פרדסייה,6.2,9029.071942,2853,2.7,29.5
2007,קדומים,3.4,6016.559654,1376,2.7,44.5
2007,קדימה-צורן,17,9747.397128,6952,5.1,37.8
2007,קציר-חריש,4,7160.836631,1415,4.8,35.4
2007,קצרין,6.4,4852.262407,3177,10.4,28.2
2007,קריית ארבע,7,4380.494009,2295,4.9,44.6
2007,קריית טבעון,14.2,9227.354433,6343,14.8,26.7
2007,קריית יערים,3.3,4607.264975,601,2.9,48.6
2007,קריית עקרון,10.1,6046.532361,4424,8.8,28.8
2007,קרני שומרון,6.4,6158.843191,2815,4.6,36.4
2007,ראמה,7.6,4873.988418,2432,7.6,36.1
2007,ראש פינה,2.5,7290.40625,1096,7,29.8
2007,ריינה,16.7,4121.96674,3653,3.5,40.4
2007,רכסים,8.8,3996.35111,2072,3.9,51.1
2007,רמת ישי,5.8,9245.276033,2929,4.6,27.9
2007,שבלי - אום אל-גנם,5.1,4459.786756,1485,3.4,44.6
2007,שגב-שלום,6.8,3815.473087,1124,1.5,58.8
2007,שוהם,19.4,12366.48648,7660,2.4,40.9
2007,שלומי,5.6,5732.30676,2791,7.2,31.6
2007,שעב,6,4215.447368,1520,3.3,43.8
2007,תל מונד,10,11069.50216,4428,4.5,38
2007,תל שבע,14,4072.377874,2131,1.5,61.2
2008,אום אל-פחם,44.5,4482,10874,2.885587792,47.19194552
2008,אופקים,24.8,4817,9127,9.365303244,34.37437034
2008,אור יהודה,32.6,6517,14563,8.721804511,30.52631579
2008,אור עקיבא,15.9,5435,7953,10.60625158,27.68464835
2008,אילת,46.6,5843,26621,6.938574095,27.89375443
2008,אלעד,33.8,4735,8634,0.802178611,58.45543617
2008,אריאל,16.7,6610,8946,8.853792773,25.90930845
2008,אשדוד,209.2,6248,84701,11.65658246,31.96503503
2008,אשקלון,110.4,5507,47949,13.70000725,27.03684249
2008,באקה-ג'ת,33.2,4983,10538,3.677911429,43.80935154
2008,באר שבע,187.2,6444,82411,12.21613825,26.60808248
2008,בית שאן,16.8,5273,7676,7.130952381,32.64285714
2008,בית שמש,76.1,5663,20352,4.299534688,50.68219459
2008,ביתר עילית,34.8,3663,6391,0.778087226,62.24984926
2008,בני ברק,153.3,4936,38624,7.232538269,46.39286203
2008,בת ים,128.9,5677,60769,19.01421021,21.04446221
2008,גבעת שמואל,20.3,9930,9164,7.939396921,35.02385754
2008,גבעתיים,49.9,9867,23587,17.45335017,21.65033171
2008,דימונה,33.7,6732,14542,9.899313909,30.2117675
2008,הוד השרון,46.9,10691,21588,8.948355207,30.21774331
2008,הרצלייה,84.4,9376,40374,14.3593389,22.91570405
2008,חדרה,78.2,6393,37367,12.35315923,26.80139587
2008,חולון,170.6,6974,79579,15.13306336,24.23212392
2008,חיפה,264.8,7792,112970,17.69805579,21.86401447
2008,טבריה,39.8,4734,16511,10.25757118,30.72743737
2008,טייבה,35.5,5093,10963,3.980967933,43.90889383
2008,טירה,21.9,5098,7183,4.495304094,40.53980122
2008,טירת כרמל,18.8,5477,8095,11.34102878,25.57050907
2008,טמרה,27.9,4131,7881,3.452731319,43.34936473
2008,יבנה,32.4,7353,15293,6.626357354,29.61500494
2008,יהוד,26.3,8882,12445,9.863660599,28.70363318
2008,יקנעם עילית,18.7,8186,8669,7.432396252,34.08299866
2008,ירושלים,763.6,5930,210640,8.094219761,40.43403844
2008,כפר סבא,82.9,9154,40542,12.27994019,25.58602228
2008,כפר קאסם,18.5,4620,5371,2.820015098,47.47654481
2008,כרמיאל,44.7,6338,21094,12.6893558,24.86406659
2008,לוד,67.5,5672,27905,10.46322091,33.60055717
2008,מגדל העמק,24.8,5498,10633,11.23404943,30.4312712
2008,מודיעין עילית,41.9,3530,7860,1.062838855,60.52688146
2008,מודיעין-מכבים-רעות,70.6,10826,29715,3.301933565,40.71393158
2008,מעלה אדומים,33.8,6926,14751,5.455190562,36.39159102
2008,מעלות-תרשיחא,21.4,5736,9392,11.09297771,28.46218409
2008,נהרייה,51.6,6963,22866,13.45009978,26.74326236
2008,נס ציונה,34.2,9526,16484,8.894736842,30.23391813
2008,נצרת,66.4,4749,22373,5.808959812,40.71997951
2008,נצרת עילית,42.7,5437,19677,16.3500234,22.40992045
2008,נשר,21.4,7496,10549,12.50408859,23.33068548
2008,נתיבות,26.3,4592,9260,6.329981718,42.34079829
2008,נתניה,179,6514,79874,14.85934576,27.1262955
2008,סח'נין,25.6,4401,7819,3.533734657,42.24845595
2008,עכו,46.3,5287,19050,11.13681571,29.10144426
2008,עפולה,39.7,5712,18539,12.44073439,26.3013215
2008,ערד,23.3,6397,10939,15.00128766,26.97656451
2008,פתח תקווה,193.9,7722,92423,13.07100906,27.49506273
2008,צפת,28.6,4406,8913,9.613568806,39.81815003
2008,קלנסווה,18.3,4798,5231,2.85761119,47.08774997
2008,קריית אונו,28.7,10305,13764,12.91872693,27.29995125
2008,קריית אתא,49.9,6445,22414,12.63417174,25.26033323
2008,קריית ביאליק,36.3,7173,17252,15.56339776,21.44412892
2008,קריית גת,47.9,5047,20894,11.54464416,29.27913822
2008,קריית ים,36.4,5832,16907,17.9706165,20.2087052
2008,קריית מוצקין,39.7,7417,18024,15.76044526,22.57032765
2008,קריית מלאכי,19.8,4676,8589,7.553448971,33.23920936
2008,קריית שמונה,22.2,5613,10775,9.267105382,27.35959614
2008,ראש העין,38.6,8087,16726,6.577483375,33.66884881
2008,ראשון לציון,226.1,7876,109091,10.57617464,25.52717237
2008,רהט,43.9,3922,9347,1.602717552,59.85682694
2008,רחובות,108.3,8001,50550,12.11304524,28.56865966
2008,רמלה,65.5,5256,26238,9.265112302,31.55604416
2008,רמת גן,134.3,8612,62193,17.2625432,21.33237993
